"Id,""fecha_auto"",""id";"_viaje"",""id_resumen_evento"",""id_evento"",""id_";"gps_"",""fecha_gps_"",""latitud_"",""longitud_"",""ubicacion_"",""evento_"",""direccion_"",""velocidad_"""
"7157949,""2025-01-01";"00:00:06"",3748,35066,2,15389781,""2024-12-31";"23:59:37"",-36.754711,-73.079668,"""",Apagado,-223,0"
"7157950,""2025-01-01";"00:00:06"",3748,35066,2,15389828,""2025-01-01";"00:00:20"",-36.754711,-73.079668,"""",Apagado,-223,0"
"7157951,""2025-01-01";"00:00:07"",3749,35081,2,15389791,""2024-12-31";"23:59:36"",-36.75462,-73.07993,"""",Movimiento,-85,0"
"7157952,""2025-01-01";"00:00:07"",3749,35081,2,15389838,""2025-01-01";"00:00:19"",-36.75462,-73.07993,"""",Movimiento,-85,0"
"7157953,""2025-01-01";"00:00:08"",3747,35051,2,15389797,""2024-12-31";"23:59:37"",-36.754702,-73.079604,"""",Apagado,0,0"
"7157954,""2025-01-01";"00:00:08"",3747,35051,2,15389844,""2025-01-01";"00:00:20"",-36.754702,-73.079604,"""",Apagado,0,0"
"7157955,""2025-01-01";"00:00:08"",3750,35096,2,15389804,""2024-12-31";"23:59:37"",-36.754701,-73.079665,"""",Apagado,-280,0"
"7157956,""2025-01-01";"00:00:08"",3750,35096,2,15389851,""2025-01-01";"00:00:20"",-36.754701,-73.079665,"""",Apagado,-280,0"
"7157957,""2025-01-01";"00:00:08"",3731,35029,2,15389805,""2024-12-31";"23:59:22"",-36.754784,-73.079551,"""",Detenido,0,0"
"7157958,""2025-01-01";"00:00:08"",3731,35029,2,15389852,""2025-01-01";"00:00:27"",-36.754784,-73.079551,"""",Detenido,0,0"
"7157959,""2025-01-01";"00:00:52"",3748,35066,2,15389828,""2025-01-01";"00:00:20"",-36.754711,-73.079668,"""",Apagado,-223,0"
"7157960,""2025-01-01";"00:00:52"",3748,35066,2,15389875,""2025-01-01";"00:01:04"",-36.754711,-73.079668,"""",Apagado,-223,0"
"7157961,""2025-01-01";"00:00:53"",3749,35081,2,15389838,""2025-01-01";"00:00:19"",-36.75462,-73.07993,"""",Movimiento,-85,0"
"7157962,""2025-01-01";"00:00:53"",3749,35081,2,15389885,""2025-01-01";"00:01:03"",-36.75462,-73.07993,"""",Movimiento,-85,0"
"7157963,""2025-01-01";"00:00:54"",3747,35051,2,15389844,""2025-01-01";"00:00:20"",-36.754702,-73.079604,"""",Apagado,0,0"
"7157964,""2025-01-01";"00:00:54"",3747,35051,2,15389891,""2025-01-01";"00:01:04"",-36.754702,-73.079604,"""",Apagado,0,0"
"7157965,""2025-01-01";"00:00:54"",3732,35039,2,15389799,""2024-12-31";"23:59:31"",-38.829302,-68.078733,"""",Detenido,235,0"
"7157966,""2025-01-01";"00:00:54"",3732,35039,2,15389893,""2025-01-01";"00:00:33"",-38.829302,-68.078733,"""",Detenido,235,0"
"7157967,""2025-01-01";"00:00:54"",3750,35096,2,15389851,""2025-01-01";"00:00:20"",-36.754701,-73.079665,"""",Apagado,-280,0"
"7157968,""2025-01-01";"00:00:54"",3750,35096,2,15389900,""2025-01-01";"00:01:04"",-36.754701,-73.079665,"""",Apagado,-280,0"
"7157969,""2025-01-01";"00:01:37"",3748,35066,2,15389875,""2025-01-01";"00:01:04"",-36.754711,-73.079668,"""",Apagado,-223,0"
"7157970,""2025-01-01";"00:01:37"",3748,35066,2,15389923,""2025-01-01";"00:01:47"",-36.754711,-73.079668,"""",Apagado,-223,0"
"7157971,""2025-01-01";"00:01:38"",3749,35081,2,15389885,""2025-01-01";"00:01:03"",-36.75462,-73.07993,"""",Movimiento,-85,0"
"7157972,""2025-01-01";"00:01:38"",3749,35081,2,15389933,""2025-01-01";"00:01:46"",-36.75462,-73.07993,"""",Movimiento,-85,0"
"7157973,""2025-01-01";"00:01:39"",3747,35051,2,15389891,""2025-01-01";"00:01:04"",-36.754702,-73.079604,"""",Apagado,0,0"
"7157974,""2025-01-01";"00:01:39"",3747,35051,2,15389939,""2025-01-01";"00:01:47"",-36.754702,-73.079604,"""",Apagado,0,0"
"7157975,""2025-01-01";"00:01:39"",3732,35039,2,15389893,""2025-01-01";"00:00:33"",-38.829302,-68.078733,"""",Detenido,235,0"
"7157976,""2025-01-01";"00:01:39"",3732,35039,2,15389941,""2025-01-01";"00:01:25"",-38.829302,-68.078733,"""",Detenido,235,0"
"7157977,""2025-01-01";"00:01:39"",3750,35096,2,15389900,""2025-01-01";"00:01:04"",-36.754701,-73.079665,"""",Apagado,-280,0"
"7157978,""2025-01-01";"00:01:39"",3750,35096,2,15389946,""2025-01-01";"00:01:47"",-36.754701,-73.079665,"""",Apagado,-280,0"
"7157979,""2025-01-01";"00:01:39"",3731,35029,2,15389852,""2025-01-01";"00:00:27"",-36.754784,-73.079551,"""",Detenido,0,0"
"7157980,""2025-01-01";"00:01:39"",3731,35029,2,15389947,""2025-01-01";"00:01:17"",-36.754784,-73.079551,"""",Detenido,0,0"
"7157981,""2025-01-01";"00:02:23"",3748,35066,2,15389923,""2025-01-01";"00:01:47"",-36.754711,-73.079668,"""",Apagado,-223,0"
"7157982,""2025-01-01";"00:02:23"",3748,35066,2,15389963,""2025-01-01";"00:02:29"",-36.754711,-73.079668,"""",Apagado,-223,0"
"7157983,""2025-01-01";"00:02:24"",3749,35081,2,15389933,""2025-01-01";"00:01:46"",-36.75462,-73.07993,"""",Movimiento,-85,0"
"7157984,""2025-01-01";"00:02:24"",3749,35081,2,15389973,""2025-01-01";"00:02:29"",-36.75462,-73.07993,"""",Movimiento,-85,0"
