Day,Country,City,Street,Cause,Avg Length (Meters),Avg Delay (Seconds),Impacted Wazers
8 sept 2023,CI,San Pedro de la Paz,Ruta 160,null,2991.07299270073,1310.2773722627737,36749
24 nov 2023,CI,Concepción,Av. Paicaví,null,2573.4825174825173,1317.4615384615386,36426
19 ene 2024,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,2197.108108108108,744.8873873873874,36411
5 ago 2023,CI,San Pedro de la Paz,Ruta 160,null,2336.716129032258,670.7741935483871,36389
12 may 2024,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,1942.0601092896175,591.4972677595629,35878
27 ago 2023,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,1863.5669642857142,824.2589285714286,35582
3 may 2024,CI,Concepción,Av. Los Carrera,null,1253.201030927835,883.5412371134021,35340
7 jul 2023,CI,San Pedro de la Paz,Ruta 160,null,3709.1803278688526,1271.950819672131,35148
8 nov 2023,CI,San Pedro de la Paz,Ruta 160,null,2800.3757575757577,1192.1454545454546,34794
12 dic 2023,CI,San Pedro de la Paz,Ruta 160,null,2832.442953020134,930.3489932885906,34704
30 oct 2023,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,2353.92385786802,852.9238578680203,34699
14 oct 2023,CI,San Pedro de la Paz,Ruta 160,null,3190.951612903226,1546.241935483871,34594
11 may 2024,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,2410.289855072464,1136.3333333333333,34067
3 may 2024,CI,Concepción,Av. Alonso de Ribera,null,2213.7131147540986,493.3032786885246,33771
20 dic 2023,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,2031.014705882353,764.8382352941177,33352
11 ago 2023,CI,San Pedro de la Paz,Ruta 160,null,2861.25,1376.4558823529412,33323
1 abr 2024,CI,Talcahuano,Autopista Concepción-Talcahuano,null,1050.2088353413656,385.1807228915663,33185
21 oct 2023,CI,San Pedro de la Paz,Ruta 160,null,3447.3389830508477,1993.093220338983,33121
19 mar 2024,CI,San Pedro de la Paz,Ruta 160,null,3228.9193548387098,2598.967741935484,33098
29 jun 2023,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,1927.320197044335,823.4334975369458,32685
22 dic 2023,CI,Concepción,Av. Costanera,null,2386.948717948718,451.0051282051282,32614
13 sept 2023,CI,San Pedro de la Paz,Ruta 160,null,2849.3513513513512,1105.3243243243244,32549
2 feb 2024,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,2296.296296296296,946.4285714285714,32315
30 nov 2023,CI,San Pedro de la Paz,Ruta 160,null,2786.654929577465,815.0492957746479,32219
29 dic 2023,CI,Concepción,Av. Jorge Alessandri,null,2779.741176470588,427.21176470588233,32120
7 nov 2023,CI,San Pedro de la Paz,Ruta 160,null,2964.3958333333335,1469.951388888889,32001
3 may 2024,CI,San Pedro de la Paz,Ruta 160,null,3774.3853211009173,1148.48623853211,31997
9 ago 2023,CI,San Pedro de la Paz,Ruta 160,null,3105.871212121212,1177.689393939394,31825
13 dic 2023,CI,San Pedro de la Paz,Ruta 160,null,3102.6119402985073,1060.1268656716418,31340
7 dic 2023,CI,Concepción,Av. Los Carrera,null,1094.2103004291846,593.9399141630902,29822
19 dic 2023,CI,San Pedro de la Paz,Ruta 160,null,2881.359712230216,945.5251798561151,29773
8 mar 2024,CI,San Pedro de la Paz,Ruta 160,null,3347.244680851064,1843.1063829787233,29595
13 abr 2024,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,2357.438016528926,930.2148760330579,29300
31 oct 2023,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,2030.7371428571428,528.6057142857143,29145
15 ene 2024,CI,Concepción,Ruta 146,null,8880.91304347826,1219.2391304347825,29055
15 sept 2023,CI,Concepción,Av. Costanera,null,2322.11724137931,516.6896551724138,28763
25 sept 2023,CI,San Pedro de la Paz,Ruta 160,null,2450.3387096774195,1200.8225806451612,28760
7 jul 2023,CI,Concepción,Av. Los Carrera,null,1400.0511363636363,874.0625,28598
20 sept 2023,CI,San Pedro de la Paz,Ruta 160,null,2799.876033057851,1177.702479338843,28410
8 mar 2024,CI,Concepción,Av. Alonso de Ribera,ACCIDENT,1824.846590909091,2327.3636363636365,28405
25 oct 2023,CI,San Pedro de la Paz,Ruta 160,null,2892.703703703704,899.4888888888889,28141
26 mar 2024,CI,Concepción,Av. Jorge Alessandri,null,2625,499.55445544554453,27986
14 ago 2023,CI,San Pedro de la Paz,Ruta 160,null,2472.6666666666665,767.2424242424242,27970
12 mar 2024,CI,Concepción,Av. Paicaví,null,1953.364238410596,1034.41059602649,27881
29 jun 2023,CI,Concepción,Av. Pedro de Valdivia,null,1598.581081081081,597.4054054054054,27754
29 nov 2023,CI,Concepción,Av. Costanera,null,2199.860927152318,821.4569536423841,27596
28 sept 2023,CI,San Pedro de la Paz,Ruta 160,null,3267.362831858407,2203.2743362831857,27556
27 nov 2023,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,2239.9059405940593,1017.7722772277227,27523
8 mar 2024,CI,Concepción,Av. San Juan Bosco,null,792.8362573099415,395.9298245614035,27393
13 jul 2023,CI,San Pedro de la Paz,Ruta 160,null,2958.809523809524,948.2952380952381,27269
27 abr 2024,CI,San Pedro de la Paz,Ruta 160,null,2286.576923076923,775.9134615384615,27229
